Unnamed: 0,L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes
1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,C1=CC=C2C(=C1)C1=C(C=CC=C1)N2C1=CC=C(C2=CC(C3=NC=CC(C4=CC=C(N5C6=CC=CC=C6C6=C5C=CC=C6)C=C4)=C3)=NC=C2)C=C1,PF6-,E1,1.0,598.0,0.11,,CH2Cl2,10.1007/s10904-024-03180-7,
2,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,CC(C)(C)C1=CC=C2C(=C1)C1=C(C=CC(C(C)(C)C)=C1)N2C1=CC=C(C2=CC(C3=NC=CC(C4=CC=C(N5C6=CC=C(C(C)(C)C)C=C6C6=C5C=CC(C(C)(C)C)=C6)C=C4)=C3)=NC=C2)C=C1,PF6-,E2,1.0,600.0,0.14,,CH2Cl2,10.1007/s10904-024-03180-7,
3,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,C1=CN=C(C2=CN(CCCCCCN3C4=CC=CC=C4C4=C3C=CC=C4)N=N2)C=C1,PF6-,E3,1.0,506.0,0.18,,CH2Cl2,10.1007/s10904-024-03180-7,
4,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,C1=CC=C2C(=C1)C1=C(C=CC=C1)N2C1=CC=C(C2=CC(C3=NC=CC(C4=CC=C(N5C6=CC=CC=C6C6=C5C=CC=C6)C=C4)=C3)=NC=C2)C=C1,PF6-,E4,1.0,594.0,0.07,,CH2Cl2,10.1007/s10904-024-03180-7,
5,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,CC(C)(C)C1=CC=C2C(=C1)C1=C(C=CC(C(C)(C)C)=C1)N2C1=CC=C(C2=CC(C3=NC=CC(C4=CC=C(N5C6=CC=C(C(C)(C)C)C=C6C6=C5C=CC(C(C)(C)C)=C6)C=C4)=C3)=NC=C2)C=C1,PF6-,E5,1.0,604.0,0.09,,CH2Cl2,10.1007/s10904-024-03180-7,
6,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,[C-]1=C(C2=NC=CC3=CC=CC=C23)C=CC=C1,C1=CN=C(C2=CN(CCCCCCN3C4=CC=CC=C4C4=C3C=CC=C4)N=N2)C=C1,PF6-,E6,1.0,604.0,0.11,,CH2Cl2,10.1007/s10904-024-03180-7,
7,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,CC1=CC(C)=[N+]2C1=C(C1=NC(C3=NC=CC=C3)=CC=C1)C1=C(C)C=C(C)N1[B-]2(F)F,PF6-,4,1.0,602.0,0.06,0.069,THF,10.1002/jccs.202400207,
8,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,C1=CC=C(C2=NC=CC=C2)N=C1,PF6-,Ir1,1.0,590.0,,4.0,CH2Cl2,10.1016/j.jorganchem.2024.123349,
9,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CC1=CC(C2=CC=CC=N2)=NC=C1,PF6-,Ir2,1.0,588.0,,4.4,CH2Cl2,10.1016/j.jorganchem.2024.123349,
10,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CC1=CC(C2=CC(C)=CC=N2)=NC=C1,PF6-,Ir3,1.0,587.0,,5.2,CH2Cl2,10.1016/j.jorganchem.2024.123349,
11,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CCN(CC)C1=CC=C2[C-]=C(C3=NC4=CC=CC=C4S3)C(=O)OC2=C1,CC1=CC=C(C2=CC=C(C)C=N2)N=C1,PF6-,Ir4,1.0,586.0,,5.1,CH2Cl2,10.1016/j.jorganchem.2024.123349,
12,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C1=CN=C2C(=C1)C=CC1=C2N=CC=C1,(PF6-)5,1,5.0,603.0,0.068,1.227,CH3CN,10.1002/smtd.202400113,
13,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,C1=CN=C2C(=C1)C=CC1=C2N=CC=C1,PF6-,1a,1.0,544.0,0.176,1.679,CH3CN,10.1002/smtd.202400113,
14,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,COC1=CC=NC(C2=NC=CC(OC)=C2)=C1,(PF6-)5,2,5.0,611.0,0.071,0.87,CH3CN,10.1002/smtd.202400113,
15,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,COC1=CC=NC(C2=NC=CC(OC)=C2)=C1,PF6-,2a,1.0,547.0,0.167,1.563,CH3CN,10.1002/smtd.202400113,
16,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,CCOC1=CC(C2=CC(OCC)=CC=N2)=NC=C1,(PF6-)5,3,5.0,611.0,0.047,0.71,CH3CN,10.1002/smtd.202400113,
17,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,CCOC1=CC(C2=CC(OCC)=CC=N2)=NC=C1,PF6-,3a,1.0,547.0,0.152,1.934,CH3CN,10.1002/smtd.202400113,
18,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,O=C([O-])C1=NC=CC=C1,(PF6-)4,4,4.0,659.0,0.019,0.173,CH3CN,10.1002/smtd.202400113,
19,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,O=C([O-])C1=NC=CC=C1,,4a,0.0,563.0,0.067,0.936,CH3CN,10.1002/smtd.202400113,
20,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,C[N+]1=CC=C(C2=CC=C(C3=CC=C(C4=CC=[N+](C)C=C4)C=N3)[C-]=C2)C=C1,(PF6-)2,5,2.0,,,,CH3CN,10.1002/smtd.202400113,
21,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=C(C2=CC=C(C3=CC=NC=C3)C=N2)C=CC(C2=CC=NC=C2)=C1,,5a,0.0,603.0,0.02,0.461,CH3CN,10.1002/smtd.202400113,
22,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,O=P([N-]C1=CC=CC=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,1a (ppy)2Ir(dpppy),0.0,509.0,0.0005,1.39,CH2Cl2,10.1016/j.ica.2024.122102,
23,[C-]1=C(C2=CC=CC=N2)C=CC=C1,[C-]1=C(C2=CC=CC=N2)C=CC=C1,O=P([N-]C1=CC=C2C=CC=CC2=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,1b (ppy)2Ir(dppq),,506.0,0.0003,1.77,CH2Cl2,10.1016/j.ica.2024.122102,
24,FC1=CC(F)=C(C2=CC=CC=N2)[C-]=C1,FC1=CC(F)=C(C2=CC=CC=N2)[C-]=C1,O=P([N-]C1=CC=CC=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,2a (dfppy)2Ir(dpppy),,479.0,0.0003,1.98,CH2Cl2,10.1016/j.ica.2024.122102,
25,FC1=CC(F)=C(C2=CC=CC=N2)[C-]=C1,FC1=CC(F)=C(C2=CC=CC=N2)[C-]=C1,O=P([N-]C1=CC=C2C=CC=CC2=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,2b (dfppy)2Ir(dppq),,478.0,6e-05,1.89,CH2Cl2,10.1016/j.ica.2024.122102,
26,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,O=P([N-]C1=CC=CC=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,3a (piq)2Ir(dpppy),,620.0,0.3,3.13,CH2Cl2,10.1016/j.ica.2024.122102,
27,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,O=P([N-]C1=CC=C2C=CC=CC2=N1)(C1=CC=CC=C1)C1=CC=CC=C1,,3b (piq)2Ir(dppq),,618.0,0.45,3.0,CH2Cl2,10.1016/j.ica.2024.122102,
28,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2C=C1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,piq-Ir,0.0,631.0,0.68,0.7,Toluene,10.1002/adfm.202402906,
29,[C-]1=C(C2=NC=CC3=C2C=CC=C3)C=C2C3=CC=CC=C3N3C4=C(C=CC=C4)C1=C23,[C-]1=C(C2=NC=CC3=C2C=CC=C3)C=C2C3=CC=CC=C3N3C4=C(C=CC=C4)C1=C23,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,ICziq-Ir,0.0,608.0,0.81,2.49,Toluene,10.1002/adfm.202402906,
30,[C-]1=C(C2=NC=NC3=C2C=CC=C3)C=C2C3=CC=CC=C3N3C4=C(C=CC=C4)C1=C23,[C-]1=C(C2=NC=NC3=C2C=CC=C3)C=C2C3=CC=CC=C3N3C4=C(C=CC=C4)C1=C23,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,ICzqz-Ir,0.0,618.0,0.75,1.18,Toluene,10.1002/adfm.202402906,
31,[C-]1=C(C2=NC=CC=C2)SC2=CC=CC=C12,[C-]1=C(C2=NC=CC=C2)SC2=CC=CC=C12,CCC/N=C/C1=C([O-])C=CC=C1,,Ir-btp-L1,0.0,611.0,0.34,2.9,Toluene,10.1039/d3qi02276e,
32,[C-]1=C(C2=NC=CC=C2)SC2=CC=CC=C12,[C-]1=C(C2=NC=CC=C2)SC2=CC=CC=C12,CC1=CC=C(/N=C/C2=C([O-])C=CC=C2)C=C1,,Ir-btp-L2,0.0,612.0,0.07,0.95,Toluene,10.1039/d3qi02276e,
33,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,CCC/N=C/C1=C([O-])C=CC=C1,,Ir-pphen-L1,0.0,690.0,0.3,0.72,Toluene,10.1039/d3qi02276e,
34,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[O-]C1=C(/C=N/C2=CC=C(C(F)(F)F)C=C2)C=CC=C1,,Ir-piq-L6,0.0,625.0,0.08,0.15,Toluene,10.1039/d3qi02276e,
35,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,CCCNC(=O)C1=CC=CC=N1,Cl-,Ir-piq-L3H-B,1.0,603.0,0.84,1.2,Toluene,10.1039/d3qi02276e,
36,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,CC1=CC=C(/N=C(\[O-])C2=CC=CC=N2)C=C1,,Ir-piq-L4-B,0.0,625.0,0.02,0.56,Toluene,10.1039/d3qi02276e,
37,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,O=C([N-]C1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=N1,,Ir-pphen-L5,0.0,659.0,0.3,1.4,Toluene,10.1039/d3qi02276e,
38,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,[O-]/C(=N\C1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=N1,,Ir-pphen-L5-B,0.0,653.0,0.21,0.7,Toluene,10.1039/d3qi02276e,
39,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,CCC/N=C/C1=CC=CC=N1,PF6-,Ir-piq-L7,1.0,637.0,0.13,1.2,Toluene,10.1039/d3qi02276e,
40,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,CC1=CC=C(/N=C/C2=CC=CC=C2[N-]C2=CC=C(C)C=C2)C=C1,,Ir-piq-L8,0.0,673.0,0.002,1.3,Toluene,10.1039/d3qi02276e,
41,[C-]1=C(C2=NC=CC=C2)SC2=CC=CC=C12,[C-]1=C(C2=NC=CC=C2)SC2=CC=CC=C12,CC1=CC=C(/N=C/C2=C([O-])C=CC=C2)C=C1,,Ir-btp-L2,0.0,631.0,0.56,5.6,,10.1039/d3qi02276e,
42,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,CCC/N=C/C1=C([O-])C=CC=C1,,Ir-pphen-L1,0.0,686.0,0.41,1.0,,10.1039/d3qi02276e,
43,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[O-]C1=C(/C=N/C2=CC=C(C(F)(F)F)C=C2)C=CC=C1,,Ir-piq-L6,0.0,624.0,0.66,1.2,,10.1039/d3qi02276e,
44,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,CCCNC(=O)C1=CC=CC=N1,Cl-,Ir-piq-L3H-B,1.0,631.0,0.94,1.4,,10.1039/d3qi02276e,
45,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,CC1=CC=C(/N=C(\[O-])C2=CC=CC=N2)C=C1,,Ir-piq-L4-B,0.0,611.0,0.4,1.3,,10.1039/d3qi02276e,
46,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,O=C([N-]C1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=N1,,Ir-pphen-L5,0.0,652.0,0.69,1.6,,10.1039/d3qi02276e,
47,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC2=C(C=CC=C2)C2=C1C=CC=C2,[O-]/C(=N\C1=CC=C(C(F)(F)F)C=C1)C1=CC=CC=N1,,Ir-pphen-L5-B,0.0,649.0,0.39,1.3,,10.1039/d3qi02276e,
48,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,CCC/N=C/C1=CC=CC=N1,,Ir-piq-L7,1.0,630.0,0.32,1.7,,10.1039/d3qi02276e,
49,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,[C-]1=CC=CC=C1C1=NC=CC2=C1C=CC=C2,CC1=CC=C(/N=C/C2=CC=CC=C2[N-]C2=CC=C(C)C=C2)C=C1,,Ir-piq-L8,0.0,690.0,0.17,1.4,,10.1039/d3qi02276e,
50,O=C1C2=C(C=C(C3=NC=CC4=C3C=CC=C4)[C-]=C2)C(=O)C2=C1C=CC=C2,O=C1C2=C(C=C(C3=NC=CC4=C3C=CC=C4)[C-]=C2)C(=O)C2=C1C=CC=C2,CC(=O)/C=C(/C)[O-],,Ir-acac,0.0,676.0,0.2,0.56,CH2Cl2,10.1016/j.inoche.2024.112616,
51,O=C1C2=C(C=C(C3=NC=CC4=C3C=CC=C4)[C-]=C2)C(=O)C2=C1C=CC=C2,O=C1C2=C(C=C(C3=NC=CC4=C3C=CC=C4)[C-]=C2)C(=O)C2=C1C=CC=C2,O=C(/C=C(\[O-])C(F)(F)F)C(F)(F)F,,Ir-CF3,0.0,634.0,0.18,0.13,CH2Cl2,10.1016/j.inoche.2024.112616,
52,O=C1C2=C(C=C(C3=NC=CC4=C3C=CC=C4)[C-]=C2)C(=O)C2=C1C=CC=C2,O=C1C2=C(C=C(C3=NC=CC4=C3C=CC=C4)[C-]=C2)C(=O)C2=C1C=CC=C2,O=C([O-])C1=NC=CC=C1,,Ir-pic,0.0,648.0,0.17,0.21,CH2Cl2,10.1016/j.inoche.2024.112616,
53,COC1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,COC1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,C1=CC=C(C2=NC=CN2)N=C1,PF6-,Ir1,1.0,531.0,0.143,0.43,CH2Cl2,10.1002/slct.202303172,
54,FC(F)(F)C1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,FC(F)(F)C1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,C1=CC=C(C2=NC=CN2)N=C1,PF6-,Ir2,1.0,552.0,0.283,0.87,CH2Cl2,10.1002/slct.202303172,
55,FC1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,FC1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,C1=CC=C(C2=NC=CN2)N=C1,PF6-,Ir3,1.0,524.0,0.15,0.88,CH2Cl2,10.1002/slct.202303172,
56,COC1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,COC1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,C1=CC=C(C2=NC3=CC=CC=C3N2)N=C1,PF6-,Ir4,1.0,534.0,0.183,0.35,CH2Cl2,10.1002/slct.202303172,
57,FC(F)(F)C1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,FC(F)(F)C1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,C1=CC=C(C2=NC3=CC=CC=C3N2)N=C1,PF6-,Ir5,1.0,548.0,0.287,0.66,CH2Cl2,10.1002/slct.202303172,
58,FC1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,FC1=CC=C(C2=NC3=CC=CC=C3S2)[C-]=C1,C1=CC=C(C2=NC3=CC=CC=C3N2)N=C1,PF6-,Ir6,1.0,525.0,0.141,0.69,CH2Cl2,10.1002/slct.202303172,
59,CC1=C(C2=CC=CC=N2)[C-]=CC=C1,CC1=C(C2=CC=CC=N2)[C-]=CC=C1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,ref-Ir,0.0,532.0,0.76,1.0,Toluene,10.1002/adom.202303214,
60,CC1=C2C3=C4C(=CC(C(C)(C)C)=C3)C3=CC(C(C)(C)C)=CC=C3N4C2=C[C-]=C1C1=NC=CC=C1,CC1=C2C3=C4C(=CC(C(C)(C)C)=C3)C3=CC(C(C)(C)C)=CC=C3N4C2=C[C-]=C1C1=NC=CC=C1,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,pICz-Ir,0.0,535.0,0.8,1.4,Toluene,10.1002/adom.202303214,
61,CC1=CC2=C([C-]=C1C1=NC=CC=C1)C1=C3C(=CC(C(C)(C)C)=C1)C1=C(C=CC(C(C)(C)C)=C1)N23,CC1=CC2=C([C-]=C1C1=NC=CC=C1)C1=C3C(=CC(C(C)(C)C)=C1)C1=C(C=CC(C(C)(C)C)=C1)N23,CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C,,oICz-Ir,0.0,523.0,0.8,1.6,Toluene,10.1002/adom.202303214,
62,FC1=C[C-]=C(C2=NC=CC=C2)C(F)=C1,FC1=C[C-]=C(C2=NC=CC=C2)C(F)=C1,CCCCNC(=N)NC1=NC2=C(C=CC=C2)[N-]1,,1,0.0,467.0,0.867,2.3,CHCl3,10.1039/d4ra04535a,
63,[C-]1=C(C2=NC=CC=C2)C=C2C=CC=CC2=C1,[C-]1=C(C2=NC=CC=C2)C=C2C=CC=CC2=C1,CCCCNC(=N)NC1=NC2=C(C=CC=C2)[N-]1,,2,0.0,545.0,0.087,0.0019,CHCl3,10.1039/d4ra04535a,
64,CC1=CC(C2=[C-][SH]=C3C=CC=CC23)=NC2=CC=CC=C12,CC1=CC(C2=[C-][SH]=C3C=CC=CC23)=NC2=CC=CC=C12,CCCCNC(=N)NC1=NC2=C(C=CC=C2)[N-]1,,3,0.0,570.0,0.234,1.7,CHCl3,10.1039/d4ra04535a,
65,CC1=CC(C2=[C-]C=CS2)=NC2=CC=CC=C12,CC1=CC(C2=[C-]C=CS2)=NC2=CC=CC=C12,CCCCNC(=N)NC1=NC2=C(C=CC=C2)[N-]1,,4,0.0,594.0,0.361,3.6,CHCl3,10.1039/d4ra04535a,
66,FC1=C[C-]=C(N2C=CC=N2)C(F)=C1,FC1=C[C-]=C(N2C=CC=N2)C(F)=C1,CC1=NN(C2=CC=CC=N2)C(C2=CC=CC=C2)=C1,PF6-,Ir-2NMe,1.0,538.0,0.008,0.85,CH3CN,10.1039/d3qi02559d,
67,FC1=C[C-]=C(N2C=CC=N2)C(F)=C1,FC1=C[C-]=C(N2C=CC=N2)C(F)=C1,C1=CC=C(C2=NN(C3=CC=CC=N3)C(C3=CC=CC=C3)=C2)C=C1,PF6-,Ir-2NPh,1.0,538.0,0.017,1.26,CH3CN,10.1039/d3qi02559d,
68,FC1=C[C-]=C(N2C=CC=N2)C(F)=C1,FC1=C[C-]=C(N2C=CC=N2)C(F)=C1,CC1=NN(C2=CC=CC=N2)C(C2=CC=CC=C2)=N1,PF6-,Ir-3NMe,1.0,531.0,0.01,0.81,CH3CN,10.1039/d3qi02559d,
69,FC1=C[C-]=C(N2C=CC=N2)C(F)=C1,FC1=C[C-]=C(N2C=CC=N2)C(F)=C1,C1=CC=C(C2=NN(C3=CC=CC=N3)C(C3=CC=CC=C3)=N2)C=C1,PF6-,Ir-3NPh,1.0,520.0,0.011,0.15,CH3CN,10.1039/d3qi02559d,
70,[C-]1=CC=CC=C1C1=NC=CC=C1,[C-]1=CC=CC=C1C1=NC=CC=C1,C1=CC=C(C2=NC3=C(N2)C2=C(N=CC=C2)C2=NC=CC=C23)C=C1,PF6-,C1,1.0,602.0,0.18,0.63,CH3CN,10.3390/molecules29010053,
71,[C-]1=CC=CC=C1C1=NC=CC=C1,[C-]1=CC=CC=C1C1=NC=CC=C1,CC1=CC=C(C2=NC3=C(N2)C2=C(N=CC=C2)C2=C3C=CC=N2)C=C1,PF6-,C2,1.0,600.0,0.16,0.58,CH3CN,10.3390/molecules29010053,
72,[C-]1=CC=CC=C1C1=NC=CC=C1,[C-]1=CC=CC=C1C1=NC=CC=C1,FC1=CC=C(C2=NC3=C(N2)C2=C(N=CC=C2)C2=C3C=CC=N2)C=C1,PF6-,C3,1.0,603.0,0.18,0.53,CH3CN,10.3390/molecules29010053,
73,FC1=CC(F)=C(C2=NC=CC=C2)[C-]=C1,FC1=CC(F)=C(C2=NC=CC=C2)[C-]=C1,C1=CC=C(C2=NC3=C(N2)C2=C(N=CC=C2)C2=NC=CC=C23)C=C1,PF6-,C4,1.0,528.0,0.39,4.66,CH3CN,10.3390/molecules29010053,
74,FC1=CC(F)=C(C2=NC=CC=C2)[C-]=C1,FC1=CC(F)=C(C2=NC=CC=C2)[C-]=C1,CC1=CC=C(C2=NC3=C(N2)C2=C(N=CC=C2)C2=C3C=CC=N2)C=C1,PF6-,C5,1.0,528.0,0.27,5.67,CH3CN,10.3390/molecules29010053,
75,FC1=CC(F)=C(C2=NC=CC=C2)[C-]=C1,FC1=CC(F)=C(C2=NC=CC=C2)[C-]=C1,FC1=CC=C(C2=NC3=C(N2)C2=C(N=CC=C2)C2=C3C=CC=N2)C=C1,PF6-,C6,1.0,527.0,0.35,4.99,CH3CN,10.3390/molecules29010053,
76,FC1=C[C-]=C(C2=NC=CC=N2)C=C1,FC1=C[C-]=C(C2=NC=CC=N2)C=C1,CC1=CC(C2=NC(C(F)(F)F)=N[N-]2)=NC=C1,,Ir1,0.0,468.0,0.84,1.66,CH2Cl2,10.1016/j.orgel.2024.107148,
77,FC1=C[C-]=C(C2=NC=CC=N2)C(F)=C1,FC1=C[C-]=C(C2=NC=CC=N2)C(F)=C1,CC1=CC(C2=NC(C(F)(F)F)=N[N-]2)=NC=C1,,Ir2,0.0,458.0,0.81,1.33,CH2Cl2,10.1016/j.orgel.2024.107148,
78,FC1=C[C-]=C(C2=NC=CC=N2)C(F)=C1F,FC1=C[C-]=C(C2=NC=CC=N2)C(F)=C1F,CC1=CC(C2=NC(C(F)(F)F)=N[N-]2)=NC=C1,,Ir3,0.0,473.0,0.85,1.57,CH2Cl2,10.1016/j.orgel.2024.107148,
79,[C-]1=C(C2=NC3=C(C=CC=C3)O2)C=CC=C1,[C-]1=C(C2=NC3=C(C=CC=C3)O2)C=CC=C1,S=P(N=P([S-])(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,,Ir1,0.0,522.0,0.647,0.31,CH2Cl2,10.1002/jccs.202300321,
80,[C-]1=C(C2=NC3=C(C=CC=C3)S2)C=CC=C1,[C-]1=C(C2=NC3=C(C=CC=C3)S2)C=CC=C1,S=P(N=P([S-])(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,,Ir2,0.0,548.0,0.541,0.32,CH2Cl2,10.1002/jccs.202300321,
81,[C-]1=C(C2=NC3=C(C=CC=C3)S2)SC=C1,[C-]1=C(C2=NC3=C(C=CC=C3)S2)SC=C1,S=P(N=P([S-])(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,,Ir3,0.0,597.0,0.359,0.54,CH2Cl2,10.1002/jccs.202300321,
