Unnamed: 0,L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes
1497,CC1=NN(C2=C(C)C=CC=C2C)C(C2=[C-]C=CC=C2)=N1,CC1=NN(C2=C(C)C=CC=C2C)C(C2=[C-]C=CC=C2)=N1,C1=CC=C(C2=CC=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,1,1.0,547.0,0.2,1.1,CH3CN,10.1021/acs.inorgchem.9b01433,
1498,CC1=NN(C2=C(C)C=CC=C2C)C(C2=[C-]C=CC=C2)=N1,CC1=NN(C2=C(C)C=CC=C2C)C(C2=[C-]C=CC=C2)=N1,C1=CC=C(N2C=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,2,1.0,463.0,0.001,0.015,CH3CN,10.1021/acs.inorgchem.9b01433,
1499,CC1=NN(C)C(C2=[C-]C=CC=C2)=N1,CC1=NN(C)C(C2=[C-]C=CC=C2)=N1,C1=CC=C(N2C=CC=N2)N=C1,F[P-](F)(F)(F)(F)F,3,1.0,488.0,0.001,0.006,CH3CN,10.1021/acs.inorgchem.9b01433,
1500,[C-]1=CC=CC=C1C1=CC=CC=N1,[C-]1=CC=CC=C1C1=CC=CC=N1,ClC1=CC=C(C2=NC3=C4C=CC=NC4=C4N=CC=CC4=C3N2)C=C1,F[P-](F)(F)(F)(F)F,1,1.0,583.0,0.15,0.441,CH3CN,10.1002/chem.201902183,
1501,C[N+]1=CC=C[C-]=C1C1=CC=CC=N1,C[N+]1=CC=C[C-]=C1C1=CC=CC=N1,ClC1=CC=C(C2=NC3=C4C=CC=NC4=C4N=CC=CC4=C3N2)C=C1,[F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F],3,3.0,528.0,0.136,0.95,CH3CN,10.1002/chem.201902183,
1502,C[N+]1=CC=C[C-]=C1C1=CC=CC=N1,C[N+]1=CC=C[C-]=C1C1=CC=CC=N1,ClC1=CC=C(C2=NC3=C4N=CC=NC4=C4N=CC=NC4=C3N2)C=C1,[F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F],4,3.0,528.0,0.001,0.009,CH3CN,10.1002/chem.201902183,
1503,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,[C-]1=CC=CC=C1C1=CC=C2C=CC=CC2=N1,CC(=O)/C=C(/C)[O-],,4b,0.0,591.0,0.301,,CH2Cl2,10.1039/c9qo00870e,
1504,[C-]1=CC=CC=C1C1=CC(C2=CC=CC=C2)=C2C=CC=CC2=N1,[C-]1=CC=CC=C1C1=CC(C2=CC=CC=C2)=C2C=CC=CC2=N1,CC(=O)/C=C(/C)[O-],,4d,0.0,604.0,0.26,,CH2Cl2,10.1039/c9qo00870e,
1505,[C-]1=CC=CC=C1C1=CC=C2C=C(N(C3=CC=CC=C3)C3=CC=CC=C3)C=CC2=N1,[C-]1=CC=CC=C1C1=CC=C2C=C(N(C3=CC=CC=C3)C3=CC=CC=C3)C=CC2=N1,CC(=O)/C=C(/C)[O-],,4g,0.0,611.0,0.21,,CH2Cl2,10.1039/c9qo00870e,
1506,CC1=CC=C2N=C(C3=[C-]C=C4C=CC=CC4=C3)C=C(C3=CC=CC=C3)C2=C1,CC1=CC=C2N=C(C3=[C-]C=C4C=CC=CC4=C3)C=C(C3=CC=CC=C3)C2=C1,CC(=O)/C=C(/C)[O-],,4h,0.0,620.0,0.135,,CH2Cl2,10.1039/c9qo00870e,
1507,FC1=CC=C2N=C(C3=[C-]C=C4C=CC=CC4=C3)C=C(C3=CC=CC=C3)C2=C1,FC1=CC=C2N=C(C3=[C-]C=C4C=CC=CC4=C3)C=C(C3=CC=CC=C3)C2=C1,CC(=O)/C=C(/C)[O-],,4i,0.0,626.0,0.103,,CH2Cl2,10.1039/c9qo00870e,
1508,[C-]1=CC2=C(C=C1C1=CC=CC=N1)C(CCCCCCN1C3=CC=CC=C3C3=CC=CC=C31)(CCCCCCN1C3=CC=CC=C3C3=CC=CC=C31)C1=CC=CC=C21,[C-]1=CC2=C(C=C1C1=CC=CC=N1)C(CCCCCCN1C3=CC=CC=C3C3=CC=CC=C31)(CCCCCCN1C3=CC=CC=C3C3=CC=CC=C31)C1=CC=CC=C21,CC(=O)/C=C(/C)[O-],,(PFBHC)2Ir(acac),0.0,550.0,0.24,0.1392,CH2Cl2,10.1016/j.matlet.2019.04.071,the atmosphere of measurements is not stated 
1509,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,[C-]1=CC=CC=C1C1=NC=CC2=CC=CC=C12,CC(=O)/C=C(/C)[O-],,Ir(piq)2(acac),0.0,633.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
1510,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2S1,[C-]1=CC=CC=C1C1=NC2=CC=CC=C2S1,CC(=O)/C=C(/C)[O-],,Ir(bt)2(acac),0.0,565.0,,,CH3CN,10.1039/c9sc01391a,the atmosphere of measurements is not stated 
